Neighbourhood,assault 2014,assault 2015,assault 2016,assault 2017,assault 2018,assault 2019,assault 2020,assault 2021,assault 2022,assault 2023,autotheft 2014,autotheft 2015,autotheft 2016,autotheft 2017,autotheft 2018,autotheft 2019,autotheft 2020,autotheft 2021,autotheft 2022,autotheft 2023,biketheft 2014,biketheft 2015,biketheft 2016,biketheft 2017,biketheft 2018,biketheft 2019,biketheft 2020,biketheft 2021,biketheft 2022,biketheft 2023,breakenter 2014,breakenter 2015,breakenter 2016,breakenter 2017,breakenter 2018,breakenter 2019,breakenter 2020,breakenter 2021,breakenter 2022,breakenter 2023,homicide 2014,homicide 2015,homicide 2016,homicide 2017,homicide 2018,homicide 2019,homicide 2020,homicide 2021,homicide 2022,homicide 2023,robbery 2014,robbery 2015,robbery 2016,robbery 2017,robbery 2018,robbery 2019,robbery 2020,robbery 2021,robbery 2022,robbery 2023,shooting 2014,shooting 2015,shooting 2016,shooting 2017,shooting 2018,shooting 2019,shooting 2020,shooting 2021,shooting 2022,shooting 2023,theftfrommv 2014,theftfrommv 2015,theftfrommv 2016,theftfrommv 2017,theftfrommv 2018,theftfrommv 2019,theftfrommv 2020,theftfrommv 2021,theftfrommv 2022,theftfrommv 2023,theftover 2014,theftover 2015,theftover 2016,theftover 2017,theftover 2018,theftover 2019,theftover 2020,theftover 2021,theftover 2022,theftover 2023
South Eglinton-Davisville,63,61,70,82,85,70,82,121,128,101,5,4,3,8,15,8,15,15,10,21,17,19,27,34,30,42,94,34,18,37,27,32,25,37,48,83,70,44,26,43,0,0,1,0,0,1,1,1,0,0,12,10,9,7,17,5,16,11,16,3,1,0,1,0,1,1,1,0,1,0,18,19,13,17,19,24,43,22,43,40,4,3,4,1,3,3,5,6,3,8
North Toronto,45,52,43,52,55,77,72,104,130,105,4,1,2,2,4,4,11,14,10,18,5,13,9,13,17,22,50,22,10,22,25,44,15,24,42,36,88,49,46,31,0,0,0,0,0,1,1,0,0,0,5,10,7,6,9,19,3,10,11,14,0,0,0,0,0,0,0,1,1,0,18,6,13,13,7,18,24,17,23,41,2,3,2,2,5,4,6,2,4,7
Dovercourt Village,56,57,79,94,94,96,75,101,95,104,8,10,18,11,11,12,18,8,25,28,26,34,52,45,30,26,28,26,20,38,38,21,37,39,50,83,47,19,33,46,1,0,0,1,0,2,1,0,0,0,24,19,13,38,31,14,15,22,10,21,0,0,2,0,0,0,0,2,0,1,40,34,49,42,82,67,67,18,28,24,5,3,5,3,4,3,3,2,4,3
Junction-Wallace Emerson,154,157,166,157,157,182,169,178,139,229,19,17,12,17,29,23,44,35,47,34,40,41,50,62,65,70,54,36,36,55,37,46,41,51,91,103,110,76,56,82,1,3,0,1,0,1,0,0,0,0,26,30,26,27,18,30,22,11,20,18,0,2,1,5,3,2,5,3,3,2,70,26,48,73,153,125,139,52,61,57,5,5,6,6,7,4,9,8,8,9
Yonge-Bay Corridor,394,524,487,603,576,660,383,323,443,543,12,20,20,14,27,38,14,17,29,46,223,156,202,215,267,219,173,169,230,228,69,115,61,125,100,119,149,112,123,108,1,2,0,0,1,2,0,1,1,1,73,52,74,88,88,63,55,51,55,62,1,3,0,3,4,4,2,0,1,2,121,103,79,89,113,171,135,64,107,76,37,30,27,35,44,63,35,26,51,51
Bay-Cloverhill,104,100,123,154,135,164,101,147,120,142,6,4,6,7,15,13,9,22,14,17,78,87,99,99,96,70,59,58,68,56,26,45,58,54,71,82,79,38,43,61,0,0,0,0,0,1,0,0,0,0,11,15,19,19,29,36,19,23,19,20,0,0,0,0,1,0,0,0,1,1,36,25,24,15,32,33,35,20,26,40,16,13,13,14,10,10,7,10,9,13
Bendale-Glen Andrew,137,148,172,166,182,204,134,129,166,237,35,37,42,25,39,35,46,76,83,144,10,7,4,23,2,3,1,4,6,10,71,33,30,27,33,30,20,19,24,29,0,0,2,0,0,1,1,0,2,0,52,55,48,67,44,35,19,49,54,55,1,1,3,5,1,3,7,5,7,1,84,64,44,64,53,50,44,41,69,76,6,8,8,17,13,8,4,7,13,20
Downsview,114,127,131,137,127,143,128,134,153,208,37,32,38,31,31,69,52,61,127,95,7,4,9,4,10,8,5,6,6,8,30,33,28,26,42,37,45,28,32,74,1,0,0,0,1,2,2,0,0,0,30,25,11,15,34,20,7,11,25,28,4,2,2,5,2,7,3,0,4,3,58,51,62,51,63,72,76,55,64,70,5,11,3,13,3,7,10,5,15,17
Oakdale-Beverley Heights,221,232,230,278,302,295,235,293,310,447,66,70,51,53,77,93,103,115,107,161,5,8,7,1,7,8,11,9,14,12,57,43,24,32,44,80,44,63,50,89,0,0,1,2,0,1,0,0,2,1,41,39,36,49,38,41,50,29,39,30,4,4,4,6,7,3,5,9,7,6,75,41,43,62,117,119,158,113,106,73,10,4,8,9,11,7,14,18,19,23
Avondale,38,40,43,49,74,46,43,56,37,50,9,4,6,1,8,15,33,34,19,25,3,8,17,22,6,13,37,20,29,9,11,9,7,11,13,13,13,17,8,19,0,0,0,0,11,0,1,0,1,0,4,4,3,10,11,5,9,8,4,6,1,0,0,1,0,0,1,0,0,1,10,7,14,9,9,22,36,27,40,64,2,1,6,5,5,4,3,5,9,5
East Willowdale,43,34,53,47,46,52,40,53,58,48,17,19,32,14,14,30,23,45,44,86,7,9,15,6,1,4,16,12,8,10,69,58,54,73,56,54,36,26,40,73,0,0,0,0,0,0,0,0,0,0,14,19,14,30,32,23,18,9,12,17,1,0,0,0,1,2,2,1,2,1,25,20,35,36,37,45,48,53,65,75,3,4,3,6,3,9,4,5,13,14
Yonge-Doris,69,71,78,85,86,81,64,77,83,104,7,5,4,10,19,29,22,39,44,47,12,15,18,9,13,12,26,14,28,17,8,8,12,10,7,22,27,19,17,16,0,0,0,0,0,0,0,0,0,1,7,11,25,14,26,19,12,29,7,14,0,0,0,0,0,0,0,0,0,0,14,11,17,22,24,75,88,81,73,143,4,5,5,7,6,15,10,9,14,18
Fenside-Parkwoods,106,101,120,96,90,104,112,84,103,130,19,16,17,29,10,21,21,33,37,40,1,4,8,8,2,4,2,5,3,7,45,35,24,31,44,34,24,20,11,20,0,0,0,0,1,1,0,1,0,1,5,17,22,28,16,24,5,8,9,14,0,2,2,5,1,1,3,2,3,1,55,53,44,53,24,74,49,45,59,38,5,3,2,5,3,2,1,4,2,7
Parkwoods-O'Connor Hills,46,45,49,57,46,56,37,51,62,96,16,18,10,17,9,8,23,20,37,55,1,1,1,9,4,2,2,3,0,2,25,26,22,35,34,34,24,17,18,35,0,0,0,0,0,0,1,0,0,0,7,1,11,18,5,10,4,15,7,6,1,0,1,2,0,0,2,2,2,2,37,43,44,50,32,29,36,29,28,27,1,3,1,5,4,3,1,1,1,7
East L'Amoreaux,59,90,83,86,75,92,104,79,77,83,7,8,13,11,13,13,14,19,45,53,0,2,2,2,4,2,1,2,3,7,35,50,20,33,35,40,23,14,24,26,0,0,1,0,0,0,0,0,0,0,31,16,17,15,21,45,11,7,7,10,1,1,2,1,1,3,3,2,2,4,44,32,28,26,34,26,34,17,35,40,3,7,2,3,6,2,2,4,11,6
L'Amoreaux West,68,73,93,100,88,107,82,101,95,118,11,12,15,14,19,26,20,18,29,63,2,1,5,7,7,6,5,7,3,8,33,34,30,40,41,46,25,17,17,27,1,0,1,1,0,0,3,0,1,1,24,22,22,27,22,20,16,8,10,19,1,3,5,11,6,6,8,3,4,1,35,35,24,32,32,32,39,37,49,47,1,2,2,3,3,0,3,3,5,1
Malvern East,141,193,173,180,177,217,167,142,129,145,18,13,18,27,35,40,42,43,45,64,5,4,5,3,2,2,3,7,1,6,29,22,41,23,33,15,14,20,16,33,0,0,4,2,1,0,1,1,1,0,24,28,31,34,32,23,17,22,18,20,2,4,9,6,7,5,10,4,5,3,29,20,27,52,26,36,61,26,72,53,6,1,2,3,5,3,4,2,8,0
Malvern West,78,90,107,111,101,119,72,89,85,93,7,18,18,30,27,38,24,22,55,55,2,3,3,4,2,5,4,1,3,2,34,21,24,12,31,29,11,14,8,16,0,0,0,0,2,1,0,2,0,0,15,20,32,31,21,25,7,20,13,14,2,3,1,2,4,8,5,6,2,3,39,32,38,41,42,45,31,24,32,47,4,3,6,4,11,6,2,2,3,2
Morningside Heights,103,121,90,105,110,113,82,86,101,119,31,24,16,25,47,57,43,76,128,153,3,3,1,1,2,1,0,4,2,1,40,40,42,30,45,36,19,25,24,33,1,0,0,4,0,0,0,2,0,0,15,27,26,24,18,12,18,12,27,23,2,5,5,8,2,3,4,3,2,8,43,41,40,67,52,47,76,56,55,70,7,6,11,7,11,9,7,7,14,16
West Rouge,84,60,61,90,86,75,66,66,62,70,30,29,7,8,14,32,20,38,67,99,7,4,12,7,20,8,7,3,4,4,36,33,34,41,36,23,19,22,22,26,0,0,0,0,0,0,1,1,0,1,12,9,9,20,14,23,26,7,14,22,0,1,1,0,1,3,2,6,3,3,66,30,41,65,56,40,53,31,57,47,3,2,3,5,5,4,3,4,4,4
Woburn North,148,170,173,178,177,210,181,178,183,186,26,16,22,22,24,40,63,56,107,103,5,3,2,8,5,4,0,4,9,13,65,88,42,38,61,60,25,28,35,44,1,0,0,0,0,0,1,0,2,2,42,38,33,52,36,19,26,10,23,22,1,3,2,4,4,2,2,7,7,4,61,59,55,67,81,99,80,78,104,92,8,8,9,13,10,4,13,8,12,9
Golfdale-Cedarbrae-Woburn,207,227,195,228,200,226,168,185,198,193,22,19,10,26,35,21,37,50,75,78,7,4,15,10,3,2,3,2,2,8,55,58,38,48,38,40,40,27,29,24,2,3,1,0,0,0,1,2,1,1,43,53,38,74,41,47,28,21,16,32,1,3,2,3,8,11,12,13,7,3,36,56,49,48,68,62,64,61,105,76,3,5,5,10,4,4,4,5,7,9
Guildwood,51,39,44,44,47,30,37,36,37,56,2,0,4,5,2,3,11,13,9,23,3,2,6,2,1,2,4,0,2,2,13,20,18,10,16,10,3,7,6,9,0,0,0,0,0,1,0,2,0,0,16,6,8,10,5,7,3,4,6,1,0,0,0,0,2,0,1,0,1,0,23,59,31,40,28,28,34,33,52,29,1,2,1,4,1,1,1,0,2,4
Scarborough Village,161,152,191,149,179,174,180,120,156,153,20,15,9,21,20,20,23,26,25,46,2,2,2,7,0,2,9,5,9,6,50,48,34,32,45,40,28,22,20,36,1,0,6,1,0,0,1,0,0,0,30,34,25,24,11,28,17,15,9,24,1,2,3,5,2,6,3,3,1,2,56,24,35,47,53,56,90,62,51,71,3,2,2,4,4,2,7,6,8,4
Eglinton East,185,178,205,204,185,197,146,161,174,168,19,21,22,29,11,27,33,42,44,49,1,3,2,5,1,5,11,2,7,16,41,76,65,56,45,58,23,30,39,53,0,0,0,1,1,2,2,3,1,1,66,46,43,37,35,29,21,16,25,33,4,2,3,11,2,6,11,8,6,3,29,48,42,53,67,63,92,50,104,98,8,3,6,1,6,8,8,1,9,8
West Hill,348,395,422,401,422,439,336,328,382,443,22,18,15,31,27,46,55,74,60,81,16,16,25,13,7,12,11,18,17,15,89,66,72,87,103,77,57,71,45,54,0,2,0,0,1,2,2,0,1,2,63,64,77,65,50,72,36,43,63,56,0,1,6,3,5,9,7,5,7,11,59,67,64,110,77,57,128,141,148,146,7,6,8,10,5,4,9,4,13,20
Morningside,121,139,163,159,135,177,106,83,125,131,21,17,14,12,12,8,32,32,52,50,5,3,3,0,1,1,0,0,1,2,30,20,19,16,19,17,18,16,11,8,0,1,0,0,1,1,1,0,1,0,17,23,10,19,13,18,8,5,17,3,2,0,1,1,1,3,8,3,7,4,25,34,20,36,34,34,27,21,110,49,1,1,0,2,2,4,2,1,3,3
Highland Creek,52,51,71,68,50,63,33,42,60,64,25,11,8,14,20,27,15,30,44,60,14,11,15,2,0,3,0,0,3,3,28,36,35,29,30,33,14,5,14,14,0,1,0,0,0,1,0,1,0,0,18,31,11,17,5,14,2,2,2,3,0,2,0,1,2,0,0,0,0,3,27,27,32,52,21,44,46,24,35,22,3,5,1,1,3,1,2,1,2,2
Centennial Scarborough,50,38,48,46,44,49,47,37,39,39,8,7,5,9,10,22,10,22,26,46,1,2,6,4,6,3,3,0,0,0,13,15,18,23,16,29,8,5,21,17,0,0,0,1,1,0,0,0,0,0,9,3,11,12,6,1,3,6,0,7,0,0,2,0,2,0,1,0,0,0,35,13,47,44,29,33,40,36,59,29,1,1,1,4,2,3,1,2,4,2
Milliken,68,86,88,77,73,96,85,64,67,89,39,43,35,60,91,85,71,80,103,298,2,2,0,3,4,3,1,8,1,3,102,117,67,113,120,132,60,89,63,77,0,0,0,0,0,1,0,1,1,0,39,37,40,29,17,35,32,16,34,37,0,2,1,0,2,1,1,6,4,3,67,65,43,75,76,85,84,67,83,89,16,14,9,19,18,22,12,8,12,24
Agincourt North,67,77,82,75,80,81,74,62,78,82,17,29,18,33,42,42,63,52,49,119,4,7,2,0,1,1,1,2,0,4,46,54,49,49,69,56,17,18,24,44,1,0,0,0,0,0,0,0,0,0,36,37,15,22,44,37,17,7,11,15,0,0,1,1,0,2,2,0,1,1,63,47,48,96,69,69,60,32,45,30,1,6,5,11,4,3,5,2,3,5
Agincourt South-Malvern West,104,103,130,111,118,121,127,152,177,191,33,29,27,35,38,58,63,39,82,127,1,5,3,7,6,3,5,10,6,12,73,60,61,92,93,100,81,44,53,67,0,0,0,0,1,0,2,1,0,0,26,24,21,34,33,28,18,19,33,18,0,0,2,4,5,3,1,5,3,6,86,71,62,84,72,58,66,86,83,72,19,9,12,14,10,15,8,6,10,11
Dorset Park,135,167,196,195,201,165,129,141,187,218,51,42,44,41,82,61,73,49,69,98,5,4,3,4,2,1,3,8,15,15,91,84,71,88,66,57,72,38,73,66,1,0,0,1,0,2,0,3,0,4,33,37,58,35,35,38,25,17,30,30,1,4,10,7,8,7,6,6,5,2,77,101,67,59,63,78,113,92,80,97,6,10,12,4,15,8,5,4,8,24
Ionview,97,103,104,85,89,80,85,92,83,126,5,12,6,5,3,8,6,10,10,34,0,3,0,2,3,4,4,1,3,5,33,45,17,29,19,19,15,18,12,15,0,0,0,0,0,0,0,0,0,0,18,15,9,13,7,12,2,4,4,4,1,0,0,0,1,1,1,0,2,2,12,29,15,22,21,30,33,40,43,32,1,4,4,1,1,2,0,3,2,2
Kennedy Park,218,252,214,197,221,222,183,182,226,317,26,12,13,30,30,24,31,33,53,45,1,6,5,10,12,3,4,9,8,8,49,36,46,50,48,41,32,35,44,41,0,0,0,0,2,1,0,2,0,0,78,67,29,54,31,29,27,28,30,33,0,0,2,3,3,2,1,2,3,7,33,50,34,74,59,70,73,65,96,73,6,3,5,4,20,6,9,3,5,12
Cliffcrest,81,99,110,119,138,136,110,98,134,183,19,13,11,18,23,19,19,31,42,60,6,2,7,9,1,4,5,2,3,3,42,58,59,36,53,46,36,30,21,24,0,1,0,0,1,1,0,1,0,1,29,22,25,34,15,29,23,13,14,13,0,2,0,0,2,1,1,0,4,4,39,56,63,71,65,107,88,73,78,49,4,5,3,7,3,3,9,3,5,2
Birchcliffe-Cliffside,140,133,198,161,199,209,146,142,159,209,13,17,15,13,24,26,20,30,46,71,10,18,22,17,8,5,14,11,6,6,73,81,76,83,70,57,46,42,31,35,0,1,0,1,1,0,0,0,1,0,16,26,25,15,22,32,21,14,15,13,0,0,0,0,0,2,0,1,0,1,83,108,93,58,98,93,88,68,69,54,3,5,6,5,8,7,5,4,6,7
Downtown Yonge East,343,398,357,475,503,620,508,599,543,656,27,19,17,14,48,43,25,45,43,45,158,129,117,161,188,172,102,165,177,205,88,82,85,112,123,181,144,161,110,118,1,2,1,0,2,0,1,0,0,2,89,101,100,122,143,115,86,96,76,90,0,4,3,0,2,5,4,7,3,5,193,158,143,227,182,254,192,118,81,113,23,11,30,20,20,20,24,26,19,25
Church-Wellesley,223,206,296,308,362,350,306,399,385,334,11,10,8,17,26,17,8,33,16,37,89,105,97,129,92,120,109,98,86,102,61,73,62,87,79,128,98,87,73,76,0,2,3,1,1,1,0,0,1,1,41,38,51,44,54,48,57,41,43,55,0,1,1,0,0,1,1,2,2,1,99,68,67,54,53,92,64,54,53,78,10,5,12,10,21,21,19,21,20,26
St Lawrence-East Bayfront-The Islands,182,201,228,228,317,282,278,365,403,445,20,11,7,16,20,19,13,31,39,43,124,98,128,119,153,146,129,132,124,106,57,49,62,68,78,104,98,150,128,97,0,0,0,1,0,0,0,0,2,0,35,15,16,21,42,32,45,43,34,42,4,0,3,4,2,0,4,2,5,3,124,115,88,90,72,123,160,77,101,111,16,19,16,20,17,28,18,23,23,31
Harbourfront-CityPlace,131,144,144,182,149,185,224,283,266,271,14,14,10,20,9,14,21,27,27,34,66,73,123,153,129,129,77,93,93,88,27,64,38,63,81,82,75,54,58,77,0,0,0,0,0,0,2,0,0,1,11,7,15,16,26,20,16,23,33,22,1,1,0,1,6,2,5,6,3,3,90,93,69,71,64,40,50,51,60,90,12,15,23,12,19,20,14,9,15,15
Wellington Place,449,515,559,531,489,425,320,375,474,429,28,20,25,29,40,33,40,48,73,71,109,97,164,168,186,144,117,106,115,80,77,76,114,130,176,156,180,149,128,141,1,1,0,1,1,1,1,1,2,1,32,40,47,52,53,51,24,26,63,46,3,6,3,11,9,8,2,6,8,6,212,149,84,110,102,110,145,106,79,92,19,15,20,20,24,29,25,21,22,32
Fort York-Liberty Village,97,112,99,99,130,125,93,153,164,167,10,15,14,10,13,19,16,14,16,23,40,71,60,76,102,120,66,54,32,43,33,37,28,58,43,83,46,41,28,33,0,2,0,0,1,0,0,0,0,2,9,7,4,2,5,8,14,7,10,7,1,2,1,0,3,1,1,2,4,1,41,57,24,39,32,47,44,38,30,37,11,14,11,8,8,12,4,17,15,12
West Queen West,130,138,122,136,107,115,102,112,117,108,12,7,7,6,7,14,12,13,23,14,51,45,63,67,66,88,82,38,28,42,34,29,42,31,28,65,63,51,36,43,0,0,1,0,1,0,1,0,0,0,19,12,7,7,8,11,8,13,6,10,0,2,3,1,1,1,0,1,0,0,99,50,48,87,58,56,40,52,38,31,6,4,6,4,7,6,7,6,6,5
Humber Bay Shores,58,77,77,81,75,94,82,102,121,152,7,8,7,19,9,22,17,25,52,78,9,13,31,38,62,74,39,23,23,16,13,20,16,15,14,34,19,29,27,37,0,1,0,0,0,1,0,0,2,0,1,6,3,6,15,10,8,6,8,9,0,2,0,0,0,2,1,1,3,1,47,21,35,34,14,19,28,20,66,30,6,6,10,8,7,5,11,6,12,10
Mimico-Queensway,148,128,166,262,413,230,205,268,343,519,28,26,28,22,13,41,34,32,63,69,18,19,6,22,40,23,9,18,25,5,42,46,33,43,36,46,34,25,47,34,0,0,1,1,0,0,1,0,0,1,9,13,9,17,14,7,3,8,16,8,0,1,1,1,1,1,1,2,1,2,69,48,37,43,42,73,47,35,64,54,4,9,7,5,6,14,8,7,11,25
Etobicoke City Centre,144,159,130,135,155,137,142,156,205,308,64,76,103,71,122,118,102,118,187,294,6,12,19,13,11,16,17,23,14,17,57,85,65,56,71,74,56,76,86,70,2,0,0,0,2,1,0,1,1,3,20,23,21,45,20,22,19,11,43,40,2,1,3,3,1,2,3,3,2,4,135,123,97,92,107,118,148,127,188,188,33,39,31,27,49,27,23,32,45,60
Islington,88,52,84,72,83,77,75,56,96,137,26,24,33,24,36,57,50,58,94,170,14,12,6,6,4,7,13,8,4,8,54,58,40,40,48,51,43,44,53,58,0,0,0,0,0,0,0,0,0,0,18,12,21,24,14,15,16,10,26,12,0,4,3,0,2,2,1,1,0,0,75,104,54,64,73,73,71,38,74,47,2,6,6,6,5,9,8,6,8,13
Bendale South,59,71,80,103,84,67,79,62,41,82,10,12,7,11,15,20,8,15,21,24,4,2,7,2,0,1,0,3,3,2,26,29,28,35,18,21,11,4,8,15,1,0,1,0,0,0,0,0,0,0,15,16,17,13,4,6,3,9,5,20,1,0,2,1,1,0,3,2,1,1,15,29,17,47,26,37,24,26,28,25,2,2,4,4,0,1,1,0,1,2
Caledonia-Fairbank,57,61,64,69,62,75,51,65,61,63,11,4,11,7,11,9,10,9,25,33,3,1,5,3,3,0,4,3,2,9,28,19,13,10,9,9,10,10,6,14,0,0,0,0,0,0,0,0,0,1,14,9,15,9,9,16,7,3,4,4,0,1,0,1,2,0,2,2,0,2,17,11,12,21,21,22,19,20,24,10,5,1,1,1,1,2,2,5,2,2
Briar Hill-Belgravia,66,79,64,67,78,74,75,65,91,89,14,14,15,10,36,19,37,28,54,37,20,9,7,7,12,3,13,1,5,5,43,29,31,31,33,49,46,39,26,38,0,0,0,1,0,0,0,1,1,0,16,12,21,22,23,27,8,14,14,22,0,0,2,4,0,4,1,0,6,1,29,35,31,32,32,35,66,58,42,53,9,2,4,4,4,6,8,3,7,8
Oakwood Village,118,145,147,123,139,164,126,103,164,112,20,12,26,14,31,40,24,30,64,58,18,22,17,14,7,12,13,11,12,10,25,29,23,41,19,49,32,36,38,36,2,0,0,0,0,2,2,0,0,0,39,20,35,26,20,45,25,14,25,13,1,3,11,2,11,13,7,3,5,2,27,41,26,62,35,50,49,58,47,45,2,3,2,5,2,2,3,8,5,3
Humewood-Cedarvale,37,49,53,41,47,45,42,49,42,54,11,7,17,22,21,16,26,34,56,53,27,51,18,13,19,13,29,16,23,14,31,39,27,39,34,28,49,19,32,38,0,1,0,1,0,0,0,0,0,0,8,11,7,8,4,11,6,3,5,1,0,0,0,1,0,0,0,0,1,0,82,59,40,34,61,48,62,39,38,26,3,3,5,5,7,3,6,2,2,3
Lawrence Park North,26,25,22,34,21,37,43,38,32,32,23,22,14,27,39,18,23,46,81,81,8,10,14,20,12,23,17,19,11,6,35,35,27,29,13,23,19,20,29,33,1,0,0,0,0,0,0,0,0,0,0,6,4,6,2,5,12,8,6,6,1,0,0,0,0,0,0,0,0,0,63,35,22,38,39,56,46,27,28,33,4,5,3,6,4,4,1,1,3,7
Lawrence Park South,15,31,19,22,14,24,27,35,33,33,15,28,20,16,30,27,30,62,96,120,6,11,12,18,16,11,32,17,9,6,68,47,44,48,36,57,58,26,35,58,0,0,0,0,0,0,0,0,0,0,2,6,2,5,5,15,12,7,8,7,0,0,0,0,0,0,0,0,1,0,48,20,25,33,27,54,50,27,39,22,5,3,1,2,2,8,12,2,5,6
Forest Hill North,24,28,28,38,33,40,40,40,45,63,12,13,8,11,21,27,42,35,38,53,17,41,13,9,7,20,24,5,2,3,38,36,19,46,42,38,45,12,14,46,0,0,0,0,0,0,0,0,0,0,5,5,8,8,16,19,16,2,7,9,0,0,0,0,1,1,0,1,0,0,35,16,13,39,32,32,57,38,10,35,3,4,2,3,0,3,7,2,6,3
Forest Hill South,24,16,12,27,13,28,26,18,33,43,5,13,9,12,26,20,38,75,82,94,9,11,9,8,16,8,23,21,7,11,48,18,27,66,42,35,33,25,26,75,0,0,0,0,0,0,0,0,0,0,4,1,2,5,8,18,5,2,0,1,0,0,0,1,0,0,0,0,0,1,26,11,16,19,25,30,47,27,29,15,5,5,5,8,2,4,6,3,10,3
Yonge-Eglinton,53,62,66,64,59,90,91,64,123,104,6,9,3,2,11,12,17,28,35,40,11,19,22,21,14,16,38,14,14,16,36,24,19,24,25,41,34,31,33,33,0,1,0,0,0,1,0,0,1,0,15,10,12,12,28,12,9,4,4,12,0,0,0,0,0,1,0,0,1,2,25,11,8,24,22,44,42,22,35,18,5,5,2,4,5,9,7,2,6,15
Mount Pleasant East,29,32,19,43,38,58,42,47,54,77,7,4,8,10,15,17,19,38,63,57,8,38,20,11,24,19,36,23,12,13,30,17,15,21,36,50,37,33,28,20,0,0,0,0,0,0,0,0,0,0,1,7,3,8,9,13,15,9,4,8,0,0,0,0,0,1,0,0,1,0,25,24,15,30,32,55,53,26,44,23,2,3,1,4,9,3,4,3,6,5
Rosedale-Moore Park,65,106,109,109,131,129,148,150,215,271,10,26,12,4,31,34,52,73,108,143,48,67,50,53,66,69,73,52,72,45,99,27,60,72,62,101,99,64,68,101,0,0,0,0,1,0,0,1,0,1,15,20,19,31,25,22,22,28,20,24,0,1,1,0,0,0,1,1,1,1,88,42,40,53,70,63,51,34,45,46,7,9,9,10,11,14,10,8,13,23
Yonge-St.Clair,16,26,32,26,27,35,23,50,45,35,2,3,7,2,6,6,9,13,32,38,8,19,14,12,15,24,25,12,19,14,37,20,12,18,24,28,27,30,26,36,0,0,0,0,0,0,0,0,0,0,3,1,6,2,1,2,4,5,7,2,0,0,1,0,0,0,0,0,0,0,7,9,7,7,23,22,20,23,21,19,3,5,7,0,3,6,3,3,1,2
Casa Loma,26,34,43,34,44,55,65,46,59,56,4,3,5,8,18,5,20,21,30,42,18,19,15,11,17,19,24,18,6,9,32,24,19,27,23,34,36,35,18,47,0,0,0,0,1,0,0,0,0,0,8,5,2,9,6,8,3,1,10,15,0,0,0,0,0,0,0,1,1,0,23,26,23,16,22,31,29,8,21,10,4,5,7,7,2,2,7,4,3,6
Annex,212,226,260,252,246,283,259,304,365,396,12,15,19,24,34,27,39,39,66,81,96,111,125,136,124,143,164,118,77,81,156,108,123,117,172,212,204,157,139,138,0,0,0,0,2,1,0,0,0,0,42,41,35,63,43,33,40,47,43,67,0,0,5,2,2,2,0,1,2,0,125,172,164,172,195,173,133,80,112,107,22,19,22,29,44,41,31,34,37,63
Wychwood,54,70,82,56,75,69,84,60,85,89,5,15,19,12,21,9,26,13,33,26,11,36,35,20,14,23,21,13,16,13,31,29,29,38,30,49,45,33,28,41,0,0,0,0,0,1,1,0,0,0,15,12,9,18,22,12,19,5,6,25,0,1,0,0,1,1,2,1,1,6,15,23,26,29,43,39,34,13,25,22,3,1,4,4,2,1,1,2,9,1
Corso Italia-Davenport,72,84,70,89,91,93,85,114,99,147,16,9,7,12,11,16,12,23,38,39,13,7,9,12,5,10,15,12,7,18,29,22,15,31,32,40,41,31,24,41,0,1,0,0,0,0,1,0,0,1,19,16,29,30,18,32,12,1,11,19,0,0,1,1,0,2,4,0,3,3,26,36,27,21,34,38,45,23,21,39,2,4,2,3,5,5,6,4,3,12
Weston-Pelham Park,92,95,83,77,87,115,102,92,101,119,23,16,16,8,14,13,19,16,29,21,16,13,4,6,0,9,6,2,3,7,26,23,16,8,23,24,30,23,14,38,1,1,1,0,1,1,0,0,0,0,11,13,15,10,25,5,4,6,11,6,1,1,4,2,4,3,4,4,4,4,22,28,21,11,27,24,36,17,17,16,4,4,8,1,2,3,3,1,3,4
Junction Area,101,101,107,90,133,93,103,115,113,136,25,24,20,24,38,31,35,25,45,46,25,20,26,23,26,22,21,15,10,16,36,33,33,46,62,42,51,45,56,68,1,0,0,0,0,0,0,0,0,0,15,15,12,14,26,15,12,9,23,19,1,1,1,0,1,2,0,0,0,1,34,38,34,47,64,53,52,36,43,40,4,2,4,8,6,9,6,5,13,9
Oakridge,169,184,143,167,163,165,158,189,186,215,21,15,11,11,15,9,21,20,23,22,14,15,4,11,12,10,6,8,7,3,63,67,59,69,65,50,36,28,35,29,0,1,0,0,0,0,1,0,0,0,48,34,30,37,37,33,26,22,11,20,3,12,3,7,4,2,8,3,1,3,34,77,71,56,60,50,48,66,62,54,2,4,10,1,4,6,4,5,7,4
Clairlea-Birchmount,257,269,253,255,299,295,197,239,256,278,44,30,49,40,48,71,54,50,71,122,26,21,8,17,10,6,5,12,7,8,130,115,87,102,65,65,60,57,77,59,0,2,1,0,3,1,1,2,1,0,52,48,46,57,30,40,31,9,19,22,3,5,0,0,8,3,2,3,4,4,106,101,109,108,144,130,111,143,117,92,4,15,18,7,12,15,6,15,15,10
Wexford/Maryvale,189,220,202,204,202,242,163,212,209,260,59,52,42,67,86,97,88,92,130,203,19,10,8,5,7,6,11,10,10,27,124,92,76,87,100,86,80,70,75,77,1,0,2,0,2,1,1,1,1,0,51,36,24,35,35,31,29,28,39,31,3,3,4,6,5,3,3,4,5,4,110,126,117,129,91,88,132,136,140,118,17,16,13,11,13,14,11,15,22,19
