Neighbourhood,assault 2014,assault 2015,assault 2016,assault 2017,assault 2018,assault 2019,assault 2020,assault 2021,assault 2022,assault 2023,autotheft 2014,autotheft 2015,autotheft 2016,autotheft 2017,autotheft 2018,autotheft 2019,autotheft 2020,autotheft 2021,autotheft 2022,autotheft 2023,biketheft 2014,biketheft 2015,biketheft 2016,biketheft 2017,biketheft 2018,biketheft 2019,biketheft 2020,biketheft 2021,biketheft 2022,biketheft 2023,breakenter 2014,breakenter 2015,breakenter 2016,breakenter 2017,breakenter 2018,breakenter 2019,breakenter 2020,breakenter 2021,breakenter 2022,breakenter 2023,homicide 2014,homicide 2015,homicide 2016,homicide 2017,homicide 2018,homicide 2019,homicide 2020,homicide 2021,homicide 2022,homicide 2023,robbery 2014,robbery 2015,robbery 2016,robbery 2017,robbery 2018,robbery 2019,robbery 2020,robbery 2021,robbery 2022,robbery 2023,shooting 2014,shooting 2015,shooting 2016,shooting 2017,shooting 2018,shooting 2019,shooting 2020,shooting 2021,shooting 2022,shooting 2023,theftfrommv 2014,theftfrommv 2015,theftfrommv 2016,theftfrommv 2017,theftfrommv 2018,theftfrommv 2019,theftfrommv 2020,theftfrommv 2021,theftfrommv 2022,theftfrommv 2023,theftover 2014,theftover 2015,theftover 2016,theftover 2017,theftover 2018,theftover 2019,theftover 2020,theftover 2021,theftover 2022,theftover 2023
Trinity-Bellwoods,120,112,137,128,123,114,103,127,137,139,13,16,23,23,20,23,15,19,31,28,38,42,69,60,66,59,80,39,31,46,68,56,46,69,63,110,86,49,69,73,0,0,1,0,0,0,1,0,0,0,26,15,17,20,15,22,21,19,31,25,0,3,2,1,1,0,2,2,1,1,97,66,63,67,66,57,30,28,37,40,9,6,2,6,8,3,8,8,10,9
Don Valley Village,112,137,135,128,123,149,99,120,117,166,50,28,28,29,26,21,36,34,69,161,7,7,2,4,9,4,6,17,4,7,80,47,66,32,58,34,30,31,31,45,2,0,0,0,0,0,2,0,0,2,46,33,24,19,36,34,23,18,29,30,1,2,1,0,2,3,0,2,2,5,77,102,54,36,50,69,55,63,82,104,8,6,8,10,11,14,6,11,11,14
Pleasant View,32,42,52,44,39,44,40,26,32,52,11,6,7,17,13,24,28,14,27,45,1,0,2,2,1,3,6,8,2,11,18,18,32,11,33,12,19,17,15,17,0,0,0,0,0,0,0,0,0,0,6,16,13,5,9,14,10,8,9,14,0,1,1,0,1,0,0,0,0,0,33,46,13,26,29,46,47,73,52,36,2,5,3,5,5,4,6,6,4,5
Flemingdon Park,131,150,159,126,148,153,132,148,142,167,8,7,5,12,8,9,18,17,22,39,13,10,4,5,2,7,4,5,4,6,50,20,14,12,14,16,12,10,22,24,1,0,0,0,0,0,0,1,0,0,27,20,25,20,16,13,5,4,13,13,6,5,8,5,6,9,14,8,1,4,112,16,47,16,25,17,29,35,27,49,9,3,3,4,1,3,3,2,1,5
Victoria Village,103,127,126,75,108,122,114,97,122,146,20,12,21,14,11,15,17,40,35,54,3,3,1,1,3,1,1,3,5,2,39,46,22,32,36,59,34,22,38,26,0,0,2,1,0,1,0,0,0,0,7,15,12,15,13,13,11,9,10,16,3,0,7,3,1,7,7,3,3,4,37,38,33,37,43,38,41,64,58,55,5,6,4,5,3,4,5,5,3,11
Banbury-Don Mills,60,78,83,107,74,75,80,87,108,132,19,21,7,16,28,43,50,34,57,150,3,12,5,10,13,2,6,12,8,14,65,87,57,64,85,81,41,23,47,99,0,0,0,0,0,0,0,0,0,1,12,29,24,11,8,13,7,3,20,24,0,0,2,1,0,2,1,2,3,4,74,41,50,59,64,58,49,41,52,65,10,14,11,5,8,16,7,8,12,14
Bridle Path-Sunnybrook-York Mills,17,31,20,26,33,45,47,44,36,48,6,12,11,3,9,11,16,39,60,80,3,6,6,6,3,6,11,1,3,8,36,36,49,67,53,53,30,19,45,96,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,13,8,5,3,3,0,0,0,1,2,3,3,0,1,0,27,16,12,12,19,25,39,12,16,26,8,3,5,5,4,3,6,1,6,8
St.Andrew-Windfields,53,41,53,47,59,63,48,50,58,58,17,25,10,16,24,40,31,64,85,136,8,1,7,5,7,4,16,14,8,11,81,79,56,88,81,84,50,33,52,90,1,0,0,2,0,0,0,0,0,1,8,5,17,1,5,11,9,2,8,15,1,0,2,0,1,2,1,0,0,0,59,43,27,31,27,50,60,62,52,34,10,14,9,7,6,7,4,7,12,12
Bedford Park-Nortown,60,28,34,52,39,59,52,44,42,52,40,40,30,47,49,63,81,105,167,229,11,9,20,11,20,20,8,3,6,7,84,67,100,121,101,90,63,30,64,122,0,0,0,0,0,0,0,0,0,0,13,8,18,17,13,14,18,10,12,12,1,0,1,0,0,2,1,2,0,0,68,65,46,87,74,119,111,50,53,71,10,14,7,13,7,18,10,4,8,13
Lansing-Westgate,39,77,65,84,65,70,97,93,66,89,18,22,26,28,16,25,46,63,65,113,6,4,13,5,4,5,11,12,1,11,34,27,41,42,50,39,39,16,37,58,0,0,0,0,0,0,0,0,3,0,11,5,5,14,32,9,11,12,14,24,0,1,1,0,1,2,1,3,2,0,22,31,38,32,52,72,85,40,51,56,4,5,4,11,6,10,8,5,12,8
Willowdale West,77,101,95,75,95,105,82,82,120,115,9,14,11,13,11,24,45,35,44,59,5,15,47,23,8,11,13,18,18,6,29,16,38,30,35,20,23,16,30,40,0,0,0,1,0,0,0,0,0,0,14,1,11,23,32,25,25,29,3,38,0,0,2,0,0,0,1,0,0,0,14,17,40,45,37,56,73,67,47,53,4,6,4,4,6,9,9,9,9,11
Newtonbrook West,143,113,139,111,169,157,175,202,229,200,50,24,45,34,51,59,61,91,169,214,17,19,27,24,16,16,23,17,13,20,54,42,54,87,54,53,31,35,36,52,0,0,0,0,0,0,0,0,1,0,24,6,16,40,24,18,23,19,30,30,1,0,0,0,0,1,5,0,2,1,61,66,45,51,63,83,96,80,107,150,7,10,6,17,9,11,9,9,13,14
Westminster-Branson,81,94,111,100,100,105,93,89,88,119,29,19,24,18,35,34,49,61,84,85,8,11,15,10,5,11,14,17,4,5,61,68,19,42,40,38,15,25,31,29,0,0,0,0,0,0,0,0,0,0,13,6,10,15,15,8,17,8,14,4,0,0,2,0,1,1,1,2,0,0,79,51,44,43,61,52,70,59,137,69,3,5,7,4,4,1,6,7,11,7
Bathurst Manor,46,47,71,56,67,57,60,55,58,88,37,23,25,25,37,25,46,44,79,76,4,6,4,7,9,6,12,5,7,5,34,30,33,38,32,22,27,18,24,42,0,0,0,0,0,0,0,0,0,1,8,9,12,13,10,15,7,9,17,16,0,0,0,0,0,0,1,1,1,0,39,28,34,30,41,32,57,35,94,56,2,2,4,5,4,5,7,1,6,4
Clanton Park,75,63,57,61,85,91,81,97,117,134,70,30,50,27,42,44,43,89,164,154,6,5,1,5,11,9,11,12,15,9,61,44,41,54,52,44,33,36,39,68,0,0,1,0,0,0,0,1,0,0,8,8,7,15,11,16,16,13,19,16,1,1,0,1,0,2,4,0,1,3,37,51,41,69,65,68,77,75,65,72,5,6,6,5,9,4,5,7,10,11
Englemount-Lawrence,79,83,130,106,97,112,102,88,86,125,29,21,23,35,40,24,31,36,60,68,6,27,18,6,12,10,33,13,7,9,44,41,56,47,52,32,34,23,15,49,0,0,0,0,1,0,1,1,0,0,30,13,37,22,10,15,23,7,5,17,3,6,16,5,8,12,10,4,3,4,29,53,37,51,55,63,69,62,51,54,4,2,7,10,7,7,8,9,3,7
Yorkdale-Glen Park,106,137,175,161,176,206,157,162,180,207,67,53,41,52,63,62,88,95,193,199,13,15,11,12,15,20,33,29,18,13,51,57,66,58,64,87,75,63,59,154,1,1,1,1,2,1,1,1,1,0,23,21,24,34,47,42,40,17,32,74,3,3,1,6,10,17,15,9,7,0,105,76,63,77,97,86,128,112,130,118,23,15,26,23,20,30,18,21,40,44
Brookhaven-Amesbury,87,101,121,122,105,105,94,138,159,166,39,42,30,24,48,37,56,49,68,74,2,6,4,7,6,4,1,7,4,5,23,44,31,32,33,50,33,25,20,39,1,0,1,0,0,0,0,3,2,0,32,20,33,21,20,23,16,15,12,30,2,2,3,7,2,8,1,5,5,0,34,51,27,33,46,51,61,47,50,54,5,8,1,7,11,12,10,5,8,9
Maple Leaf,21,31,42,18,27,28,28,32,51,50,7,18,15,8,13,25,18,13,47,49,0,1,0,2,1,0,2,1,0,0,14,13,18,10,7,15,10,10,21,17,0,0,0,0,0,0,0,0,0,0,9,3,8,2,6,4,2,1,5,5,0,2,0,1,2,1,1,2,1,1,12,18,13,6,33,18,31,19,19,17,0,4,0,2,4,3,2,3,3,1
Rustic,53,66,74,64,72,64,60,62,73,89,7,19,10,11,15,38,22,16,35,34,0,2,3,0,0,2,5,0,1,0,21,17,17,12,9,14,15,7,10,19,0,1,0,0,0,1,0,2,0,0,14,16,6,4,8,3,8,6,4,2,5,7,9,3,8,7,6,7,1,3,20,14,8,18,47,26,35,13,25,14,1,1,3,1,2,1,4,0,5,2
York University Heights,271,294,361,342,355,378,347,331,333,409,108,100,109,93,91,147,187,173,230,263,15,27,25,33,36,18,39,18,34,16,108,140,99,105,122,111,105,114,127,218,1,0,2,1,1,0,1,6,3,0,59,85,69,75,91,82,47,40,51,106,2,1,5,10,8,6,12,14,13,6,141,122,136,164,169,159,262,200,215,178,30,46,38,38,37,31,42,32,59,40
Glenfield-Jane Heights,296,310,315,288,307,351,285,315,283,327,45,51,65,51,68,88,120,106,161,119,10,28,10,13,8,8,15,6,5,5,36,36,30,42,38,36,51,41,34,43,0,0,1,2,0,2,1,5,3,0,49,48,71,53,53,50,50,29,31,31,8,17,22,21,25,31,34,19,10,14,79,47,88,61,82,74,139,96,81,54,7,7,9,7,11,12,19,7,11,27
Broadview North,49,58,46,57,57,69,62,55,60,81,2,4,7,6,6,3,7,11,15,17,4,9,16,10,1,13,35,10,24,11,14,21,16,24,8,25,25,18,17,22,0,0,0,1,1,0,0,1,1,0,9,4,11,5,7,5,3,10,2,3,0,0,1,1,0,0,0,1,2,0,15,24,24,12,16,26,32,22,33,28,0,2,2,1,1,1,6,1,3,3
Leaside-Bennington,40,28,40,38,36,31,29,50,33,38,11,14,3,4,40,31,43,86,79,112,26,23,38,17,23,26,48,28,10,12,39,30,33,29,34,45,40,39,41,49,0,1,0,0,0,0,0,0,0,0,7,11,8,13,8,2,8,3,4,5,0,1,0,0,0,0,0,1,1,0,66,35,19,44,29,46,43,40,62,54,9,5,3,4,3,7,6,3,3,9
